Name,Phone,Address
Warkop Resik,0821-2397-5573,"Jl. Karbela Timur No.10-34 1, RT.1/RW.5, Kuningan, Karet, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940"
Warkop Nakula,0838-9804-7277,"Gg. Karet Karya II No.5 8, RT.6/RW.5, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920"
Warkop Jambu,0896-3555-5343,"No. 12, Jl. Karet Karya 1, RT.4/RW.7, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920"
Warkop Kabita,0819-1155-1049,"Jl. Perintis No.10 14, RT.14/RW.2, Kuningan, Karet, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920"
Warkop Teladan,,"Jl. Perintis No.4 14, RT.7/RW.2, Kuningan, Karet, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920"
WaRkoP Mencos,0857-1931-8578,"QRPG+PC5, Jl. Karbela Timur, RT.3/RW.5, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920"
Warkop setiabudi gank,,"Jl. Karbela Sel. Belakang I No.2 3, RT.3/RW.4, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920"
Warkop Motekar,0877-8809-4975,"Jl. Karet Karya 1 No.7 2, RT.3/RW.7, Kuningan, Karet, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12910"
Warkop Sari Rasa,0877-2377-7769,"Jl. BB No.5 2, RT.6/RW.5, Kuningan, Karet, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920"
Warkop Family(indra),,"Pin Dipasang dekat, KAV B 34-35, Jl. Setia Budi Selatan No.RT.5 5, RT.10/RW.5, Kuningan, Karet, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920"
Warkop Pasundan Setiabudi Tengah,,"Jl. Setiabudi Tengah No.14 Seberang Warung MJS / Le Green Kuningan Setiabudi, RT.1/RW.1, Kuningan, Setiabudi, South Jakarta City, Jakarta 12910"
Warkop 25.H. Hasyim,,"Kuningan, Karet, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta"
Warkop Chenli Setiabudi,0851-1719-5960,"Gg. Karet Karya I No.5, RT.5/RW.6, Kuningan, Karet, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920"
Warkop Hegar,,"Jl. Taman Setia Budi II No.1, RT.1/RW.2, Kuningan, Setia Budi, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12910"
Warkop Djaja Abadi,0813-9938-8208,"Jalan karet Jl. Pedurenan Mesjid Raya No.52c, Kuningan, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940"
Teras Warkop Karang Taruna,0812-9142-2146,"Jl. Karbela Timur No.5 1, RT.1/RW.5, Kuningan, Karet, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12920"
